SYMBOL,ISIN
LORDSCHLO,INE846D01012
LTFOODS,INE818H01020
LTIM,INE214T01019
LUMAXTECH,INE872H01027
LUMAXIND,INE162B01018
LUPIN,INE326A01037
LUXIND,INE150G01020
LYKALABS,INE933A01014
LODHA,INE670K01029
MAGADSUGAR,INE347W01011
MAHAPEXLTD,INE843B01013
MHLXMIRU,INE112D01035
MGL,INE002S01010
MAHSCOOTER,INE288A01013
MAHSEAMLES,INE271B01025
M&MFIN,INE774D01024
M&M,INE101A01026
MAHEPC,INE215D01010
MHRIL,INE998I01010
MAHLIFE,INE813A01018
MAHLOG,INE766P01016
MAITHANALL,INE683C01011
MALLCOM,INE389C01015
MAMATA,INE0TO701015
MANINDS,INE993A01026
MANINFRA,INE949H01023
MANAKCOAT,INE830Q01018
MANAPPURAM,INE522D01027
MANBA,INE939X01013
MANCREDIT,INE545L01039
MANGLMCEM,INE347A01017
MRPL,INE103A01014
MANKIND,INE634S01028
MVGJL,INE0KNT01012
MANORAMA,INE00VM01036
MARATHON,INE182D01020
MARICO,INE196A01026
MARKSANS,INE750C01026
MARUTI,INE585B01010
MASFIN,INE348L01012
MASTEK,INE759A01021
MASTERTR,INE677D01037
MATRIMONY,INE866R01028
MAWANASUG,INE636A01039
MAXESTATES,INE03EI01018
MFSL,INE180A01020
MAXHEALTH,INE027H01010
MAXIND,INE0CG601016
MAYURUNIQ,INE040D01038
MAZDOCK,INE249Z01020
MAZDA,INE885E01042
MEDIASSIST,INE456Z01021
MEDICAMEQ,INE646B01010
MEDPLUS,INE804L01022
MENONBE,INE071D01033
METROBRAND,INE317I01021
METROPOLIS,INE112L01020
MINDACORP,INE842C01021
MINDTECK,INE110B01017
MIDHANI,INE099Z01011
MMFL,INE227C01017
MODISONLTD,INE737D01021
MOIL,INE490G01020
MOLDTKPAC,INE893J01029
MOLDTECH,INE835B01035
MONARCH,INE903D01011
MONTECARLO,INE950M01013
MOSCHIP,INE935B01025
MOTILALOFS,INE338I01027
MPHASIS,INE356A01018
MPSLTD,INE943D01017
BECTORFOOD,INE495P01020
MSTCLTD,INE255X01014
MTARTECH,INE864I01014
MUKANDLTD,INE304A01026
MCX,INE745G01043
MUNJALSHOW,INE577A01027
MUTHOOTCAP,INE296G01013
MUTHOOTFIN,INE414G01012
MUTHOOTMF,INE046W01019
NAHARCAP,INE049I01012
NAHARINDUS,INE289A01011
NAHARSPING,INE290A01027
NSIL,INE023A01030
NH,INE410P01011
NATCOPHARM,INE987B01026
NATHBIOGEN,INE448G01010
NATIONALUM,INE139A01034
NFL,INE870D01012
NATCAPSUQ,INE936B01015
NAVA,INE725A01030
NAVINFLUOR,INE048G01026
NAVKARCORP,INE278M01019
NAVNETEDUL,INE060A01024
NAZARA,INE418L01047
NBCC,INE095N01031
NCC,INE868B01028
NCLIND,INE732C01016
NDRAUTO,INE07OG01012
NELCAST,INE189I01024
NELCO,INE045B01015
NEOGEN,INE136S01016
NESCO,INE317F01035
NESTLEIND,INE239A01024
NETWEB,INE0NT901020
NPST,INE0FFK01017
NEULANDLAB,INE794A01010
NDTV,INE155G01029
NEWGEN,INE619B01017
NHPC,INE848E01016
NIBE,INE149O01018
NIITMTS,INE342G01023
NIITLTD,INE161A01038
NILKAMAL,INE310A01015
NINSYS,INE395U01014
NAM-INDIA,INE298J01013
NITCO,INE858F01012
NITINSPIN,INE229H01012
NLCINDIA,INE589A01014
NOCIL,INE163A01018
NORTHARC,INE850M01015
NRAIL,INE740D01017
NRBBEARING,INE349A01021
NTPCGREEN,INE0ONG01011
NTPC,INE733E01010
NUCLEUS,INE096B01018
NUVAMA,INE531F01023
NUVOCO,INE118D01016
OBEROIRLTY,INE093I01010
ONGC,INE213A01029
OIL,INE274J01014
OLECTRA,INE260D01016
OMINFRAL,INE239D01028
PAYTM,INE982J01020
MOBIKWIK,INE0HLU01028
ONESOURCE,INE013P01021
ONWARDTEC,INE229A01017
OPTIEMUS,INE350C01017
OFSS,INE881D01027
ORBTEXP,INE231G01010
ORCHPHARMA,INE191A01027
ORIENTBELL,INE607D01018
ORIENTCEM,INE876N01018
ORIENTELEC,INE142Z01019
ORIENTTECH,INE0PPK01015
OAL,INE959C01023
ORIENTHOT,INE750A01020
ORISSAMINE,INE725E01024
PNGJL,INE953R01016
PAGEIND,INE761H01022
PAKKA,INE551D01018
PALASHSECU,INE471W01019
PANACEABIO,INE922B01023
PANAMAPET,INE305C01029
PARADEEP,INE088F01024
PARAGMILK,INE883N01014
PARAS,INE045601023
PATANJALI,INE619A01035
PAVNAIND,INE07S101038
POLICYBZR,INE417T01026
PCBL,INE602A01031
PDSL,INE111Q01021
PGIL,INE940H01022
PENIND,INE932A01024
PERSISTENT,INE262H01021
PETRONET,INE347G01014
PFIZER,INE182A01018
PGEL,INE457L01029
PIIND,INE603J01030
PIDILITIND,INE318A01026
PILANIINVS,INE417C01014
PPLPHARMA,INE0DK501011
PITTIENG,INE450D01021
PIXTRANS,INE751B01018
PLASTIBLEN,INE083C01022
PLATIND,INE0PT501018
PNBHOUSING,INE572E01012
PNCINFRA,INE195J01029
PODDARMENT,INE371C01013
POKARNA,INE637C01025
POLYMED,INE205C01021
POLYCAB,INE455K01017
POLYPLEX,INE633B01018
POCL,INE063E01053
PONNIERODE,INE838E01017
POONAWALLA,INE511C01022
PVSL,INE772T01024
PFC,INE134E01011
POWERGRID,INE752E01010
POWERMECH,INE211R01019
PPAP,INE095I01015
PRABHA,INE0I0M01023
PRAJIND,INE074A01025
PRAKASH,INE603A01013
PPL,INE050001010
DIAMONDYD,INE393P01035
PRECAM,INE484I01029
PRECWIRE,INE372C01037
PREMIERENE,INE0BS701011
PREMEXPLN,INE863B01029
PRESTIGE,INE811K01011
PRICOLLTD,INE726V01018
PFOCUS,INE367G01038
PRIMESECU,INE032B01021
PRINCEPIPE,INE689W01016
PRSMJOHNSN,INE010A01011
PRIVISCL,INE959A01019
PGHL,INE199A01012
PGHH,INE179A01014
PROTEAN,INE004A01022
PRUDENT,INE00F201020
PSPPROJECT,INE488V01015
PTC,INE877F01012
PTCIL,INE596F01018
PUNJABCHEM,INE277B01014
PNB,INE160A01022
PURVA,INE323I01011
PVRINOX,INE191H01014
PYRAMID,INE0MIS01010
QUADFUTURE,INE0LRY01011
QPOWER,INE0SII01026
QUESS,INE615P01015
QUICKHEAL,INE306L01010
RKSWAMY,INE0NQ801033
RRKABEL,INE777K01022
RSYSTEMS,INE411H01032
RACE,INE084Q01012
RACLGEAR,INE704B01017
RADICO,INE944F01028
RPEL,INE912T01018
RVNL,INE415G01027
RAILTEL,INE0DD101019
RAIN,INE855B01025
RAINBOW,INE961O01016
RAJRATAN,INE451D01029
RALLIS,INE613A01020
RAMRAT,INE207E01023
RAMCOIND,INE614A01028
RAMCOSYS,INE246B01019
RKFORGE,INE399G01023
RAMKY,INE874I01013
RML,INE050H01012
RANEHOLDIN,INE384A01010
RPTECH,INE0J1F01024
RCF,INE027A01015
RATEGAIN,INE0CLI01024
RATNAMANI,INE703B01027
RATNAVEER,INE05CZ01011
RELTD,INE206N01018
RAYMONDLSL,INE02ID01020
RAYMOND,INE301A01014
RBLBANK,INE976G01028
RECLTD,INE020B01018
REDINGTON,INE891D01026
REDTAPE,INE0LXT01019
REFEX,INE056I01025
RELAXO,INE131B01039
RELCHEMQ,INE750D01016
RIIL,INE046A01015
RELIANCE,INE002A01018
RELIGARE,INE621H01010
REMSONSIND,INE474C01023
RGL,INE722H01024
REPCOHOME,INE612J01015
REPRO,INE461B01014
RESPONIND,INE688D01026
RHIM,INE743M01012
RISHABH,INE0N2P01017
RITCO,INE01EG01016
RITES,INE320J01015
RHL,INE508K01013
ROLEXRINGS,INE645S01024
ROSSARI,INE02A801020
ROTO,INE535D01037
ROUTE,INE450U01017
ROHLTD,INE283H01019
RPGLIFE,INE105J01010
RPSGVENT,INE425Y01011
RSWM,INE611A01016
RUBYMILLS,INE301D01026
RUCHIRA,INE803H01014
RUPA,INE895B01021
SCHAND,INE807K01035
SHK,INE500L01026
SJS,INE284S01014
SPAL,INE212I01016
SAFARI,INE429E01023
SAGCEM,INE229C01021
SAHYADRI,INE280H01015
SAILIFE,INE570L01029
KALAMANDIR,INE438K01021
SAKSOFT,INE667G01023
SALONA,INE498E01010
SALZERELEC,INE457F01013
SAMHI,INE08U801020
SAMMAANCAP,INE148I01020
MOTHERSON,INE775A01035
SANATHAN,INE0JPD01013
SANDESH,INE583B01015
SANDHAR,INE278H01035
SANDUMA,INE149K01016
SANGAMIND,INE495C01010
SANGHVIMOV,INE989A01032
SANOFICONR,INE0UOS01011
SANOFI,INE058A01010
SANSERA,INE953O01021
SAPPHIRE,INE806T01020
SSDL,INE0PQ101010
SARDAEN,INE385C01021
SAREGAMA,INE979A01025
SMLT,INE017W01010
SASKEN,INE231F01020
SASTASUNDR,INE019J01013
SATIN,INE836B01017
SOTL,INE035D01020
SBFC,INE423Y01016
SBICARD,INE018E01016
SBILIFE,INE123W01016
SCHAEFFLER,INE513A01022
SCHNEIDER,INE839M01018
SEAMECLTD,INE497B01018
SENCO,INE602W01027
SENORES,INE0RB801010
VIYASH,INE807F01027
SESHAPAPER,INE630A01024
SHAILY,INE151G01028
SHAKTIPUMP,INE908D01010
SHALBY,INE597J01018
SHANKARA,INE274V01019
SHANTIGEAR,INE631A01022
SHARDACROP,INE221J01015
SHARDAMOTR,INE597I01028
SHAREINDIA,INE932X01026
SFL,INE916U01025
SCPL,INE501Y01019
SHILPAMED,INE790G01031
SCI,INE109A01011
SHIVATEX,INE705C01020
SBCL,INE386D01027
SHIVALIK,INE788J01021
SHOPERSTOP,INE498B01024
SHREECEM,INE070A01015
SHREEPUSHK,INE712K01011
SHREYANIND,INE231C01019
SHRIRAMFIN,INE721A01047
SHRIPISTON,INE526E01018
SHYAMMETL,INE810G01011
SIEMENS,INE003A01024
SIGNATURE,INE903U01023
SIGNPOST,INE0KGZ01021
SILINV,INE923A01015
SILVERTUC,INE625X01018
SIMPLEXINF,INE059B01024
SIRCA,INE792Z01011
SIS,INE285J01028
SIYSIL,INE076B01028
SJVN,INE002L01015
SKFINDIA,INE640A01023
SKIPPER,INE439E01022
SKMEGGPROD,INE411D01023
SKYGOLD,INE01IU01018
SMARTLINK,INE178C01020
SMCGLOBAL,INE103C01036
SMSPHARMA,INE812G01025
SOBHA,INE671H01015
SOFTTECH,INE728Z01015
SOLARINDS,INE343H01029
SOLARA,INE624Z01016
SDBL,INE480C01038
SOMANYCERA,INE355A01028
SOMICONVEY,INE323J01019
SONACOMS,INE073K01018
SONATSOFTW,INE269A01021
SPANDANA,INE572J01011
SPECIALITY,INE247M01014
SPECTRUM,INE01EO01010
SPMLINFRA,INE937A01023
SPORTKING,INE885H01029
SRHHYPOLTD,INE917H01012
SREEL,INE099F01013
SRF,INE647A01010
SRGHFL,INE559N01010
SRM,INE0R6Z01013
STANLEY,INE01A001028
STARCEMENT,INE460H01021
STARHEALTH,INE575P01011
STARPAPER,INE733A01018
STARTECK,INE992I01013
SBIN,INE062A01020
STCINDIA,INE655A01013
SAIL,INE114A01011
SSWL,INE802C01033
STEELCAS,INE124E01038
SWSOLAR,INE00M201021
STERTOOLS,INE334A01023
STOVEKRAFT,INE00IN01015
STAR,INE939A01011
STYLAMIND,INE239C01020
STYRENIX,INE189B01011
SUBROS,INE287B01021
SUDARSCHEM,INE659A01023
SUKHJITS,INE450E01029
SULA,INE142Q01026
SUMICHEM,INE258G01013
SUMMITSEC,INE519C01017
SPARC,INE232I01014
SUNPHARMA,INE044A01036
SUNTV,INE424H01027
SUNDRMBRAK,INE073D01013
SUNDARMFIN,INE660A01013
SUNCLAY,INE0Q3R01026
SUNDRMFAST,INE387A01021
SUNDROP,INE209A01019
SUNFLAG,INE947A01014
SUNTECK,INE805D01034
SUPERHOUSE,INE712B01010
SUPRAJIT,INE399C01030
SUPREMEIND,INE195A01028
SPLPETRO,INE663A01033
SUPRIYA,INE07RO01027
SURAJEST,INE843S01025
SURAJLTD,INE713C01016
SURAKSHA,INE877V01027
SURYAROSNI,INE335A01020
SURYODAY,INE428Q01011
SUVEN,INE495B01038
SWARAJENG,INE277A01016
SWIGGY,INE00H001014
SYMPHONY,INE225D01027
SGIL,INE00QT01015
SYNGENE,INE398R01022
SYRMA,INE0DYJ01015
TAINWALCHM,INE123C01018
TAJGVK,INE586B01026
TALBROAUTO,INE187D01029
TNPL,INE107A01015
TMB,INE668A01016
TANLA,INE483C01032
TARC,INE0EK901012
TARSONS,INE144Z01023
TASTYBITE,INE488B01017
TATACHEM,INE092A01019
TATACOMM,INE151A01013
TCS,INE467B01029
TATACONSUM,INE192A01025
TATAELXSI,INE670A01012
TATAINVEST,INE672A01026
TMCV,INE628D01016
TMPV,INE837D01016
TATAPOWER,INE245A01021
TATASTEEL,INE081A01020
TATATECH,INE142M01025
TATVA,INE0GK401011
TBOTEK,INE673O01025
TCIEXP,INE586V01016
TCPLPACK,INE822C01015
TDPOWERSYS,INE419M01027
TEAMLEASE,INE985S01024
TECHM,INE669C01036
TECHNOE,INE285K01026
TIIL,INE545H01011
TEGA,INE011K01018
TEJASNET,INE010J01012
TEXINFRA,INE435C01024
TEXRAIL,INE621L01012
THANGAMAYL,INE085J01014
ANUP,INE294Z01018
THEINVEST,INE924D01017
NIACL,INE470Y01017
PHOENIXLTD,INE211B01039
RAMCOCEM,INE331A01037
THEMISMED,INE083B01024
THERMAX,INE152A01029
TIRUMALCHM,INE338A01024
THOMASCOOK,INE332A01027
THOMASCOTT,INE480M01011
THYROCARE,INE594H01019
TIL,INE806C01018
TI,INE133E01013
TIMETECHNO,INE508G01029
TIMKEN,INE325A01013
TINNARUBR,INE015C01016
TIPSFILMS,INE0LQS01015
TIPSMUSIC,INE716B01029
TITAGARH,INE615H01020
TITAN,INE280A01028
TOKYOPLAST,INE932C01012
TOLINS,INE0RWQ01014
TORNTPHARM,INE685A01028
TORNTPOWER,INE813H01021
TFCILTD,INE305A01023
TARIL,INE763I01026
TCI,INE688A01022
TRANSRAILL,INE454P01035
TRANSWORLD,INE757B01015
TREJHARA,INE00CA01015
TRENT,INE849A01020
TRF,INE391D01019
TBZ,INE760L01018
TRIVENI,INE256C01024
TRITURBINE,INE152M01016
TTKHLTCARE,INE910C01018
TTKPRESTIG,INE690A01028
TIINDIA,INE974X01010
TVTODAY,INE038F01029
TVSELECT,INE236G01019
TVSHLTD,INE105A01035
TVSMOTOR,INE494B01023
TVSSRICHAK,INE421C01016
TVSSCS,INE395N01027
UCAL,INE139B01016
UFLEX,INE516A01017
UGROCAP,INE583D01011
ULTRACEMCO,INE481G01011
UNICHEMLAB,INE351A01035
UNIECOM,INE00U401027
UNIMECH,INE0U3I01011
UNIONBANK,INE692A01016
UNIPARTS,INE244O01017
UNIENTER,INE037A01022
UBL,INE686F01025
UNIDT,INE961D01019
UNITDSPR,INE854D01024
UNIVCABLES,INE279A01012
UNIVPHOTO,INE03V001013
UNOMINDA,INE405E01023
UDS,INE851I01011
UPL,INE628A01036
USHAMART,INE228A01035
UTIAMC,INE094J01016
UTTAMSUGAR,INE786F01031
VGUARD,INE951I01027
VMART,INE665J01013
WABAG,INE956G01038
VADILALIND,INE694D01016
VAIBHAVGBL,INE884A01027
VALIANTORG,INE565V01010
DBREALTY,INE879I01012
VHL,INE701A01023
VSSL,INE050M01012
VTL,INE825A01020
VARROC,INE665L01035
VBL,INE200M01039
MANYAVAR,INE825V01034
VEDL,INE205A01025
VEEDOL,INE484C01030
VENKEYS,INE398A01010
VENTIVE,INE781S01027
VENUSPIPES,INE0JA001018
VERANDA,INE0IQ001011
VESUVIUS,INE386A01023
VETO,INE918N01018
VSTL,INE0QTF01015
VIDHIING,INE632C01026
VIJAYA,INE043W01024
VIMTALABS,INE579C01029
VINATIORGA,INE410B01037
VINDHYATEL,INE707A01012
VINCOFE,INE498Q01014
VIPIND,INE054A01027
VMM,INE01EA01019
VISHNU,INE270I01022
VPRPL,INE0AE001013
VLSFINANCE,INE709A01018
VOLTAMP,INE540H01012
VOLTAS,INE226A01021
VRAJ,INE0S2V01010
VRLLOG,INE366I01010
VSTIND,INE710A01016
VSTTILLERS,INE764D01017
WAAREEENER,INE377N01017
WAAREERTL,INE299N01021
WALCHANNAG,INE711A01022
WEBELSOLAR,INE855C01023
WEIZMANIND,INE080A01014
WELCORP,INE191B01025
WELENT,INE625G01013
WELSPUNLIV,INE192B01031
WENDT,INE274C01019
WSTCSTPAPR,INE976A01021
WCIL,INE0CJF01024
WESTLIFE,INE274F01020
WHEELS,INE715A01015
WHIRLPOOL,INE716A01013
WINDLAS,INE0H5O01029
WINDMACHIN,INE052A01021
WIPRO,INE075A01022
WOCKPHARMA,INE049B01025
WEL,INE02WG01024
WONDERLA,INE066O01014
XPROINDIA,INE445C01015
YASHO,INE616Z01012
YATHARTH,INE0JO301016
YUKEN,INE384C01016
ZAGGLE,INE07K301024
ZEEL,INE256A01028
ZENTEC,INE251B01027
ZENSARTECH,INE520A01027
ZFCVINDIA,INE342J01019
BLACKBUCK,INE0UIZ01018
ZODIACLOTH,INE206B01013
ZODIAC,INE761Y01019
ZUARI,INE840M01016
ZUARIIND,INE217A01012
ZYDUSLIFE,INE010B01027
ZYDUSWELL,INE768C01028
ELLEN,INE236E01022
SAMBHV,INE12NJ01018
IGCL,INE05J901018
HDBFS,INE756I01012
GLOBECIVIL,INE0V3U01015
STALLION,INE0RYC01010
BORANA,INE16SF01016
BELRISE,INE894V01022
THELEELA,INE0AQ201015
PROSTARM,INE0BX301013
SCODATUBES,INE090501011
OSWALPUMPS,INE0BYP01024
ARISINFRA,INE0H9P01028
CRIZAC,INE0S4R01014
TRAVELFOOD,INE103V01028
ARISINFRA,INE0H9P01028
ANTHEM,INE0CZ201020
EBGNG,INE18JU01028
INDIQUBE,INE06ST01018
BRIGHOTEL,INE03NU01014
SHANTIGOLD,INE06ZD01017
CPPLUS,INE819V01029
LAXMIINDIA,INE06WU01026
MBEL,INE08N601015
LOTUSDEV,INE0V9Q01010
BOM:544467,
HILINFRA,INE00RL01028
ALLTIME,INE0GV601021
JSWCEMENT,INE718I01012
BLUESTONE,INE304W01038
REGAAL,INE0MHO01029
GEMAROMA,INE06XZ01023
VIKRAMSOLR,INE078V01014
PATELRMART,INE0R8B01010
SHREEJISPG,INE1B6101010
MEIL,INE0PKD01011
AHCL,INE0Y8W01017
VIKRAN,INE01R501028
AMANTA,INE084K01015
CANHLIFE,INE01TY01017
CRAMC,INE218I01013
RUBICON,INE506V01022
MONEYBOXX,INE296Q01012
LGEINDIA,INE324D01010
MARKOLINES,INE0FW001016
TATACAP,INE976I01016
WEWORK,INE085001019
SOLEX,INE880Y01017
GLOTTIS,INE0TQE01026
PACEDIGITK,INE0S3G01027
SYSTMTXC,INE356B01024
JKIPL,INE1FF001016
TRUALT,INE0MWH01014
BMWVENTLTD,INE965W01036
EPACKPEB,INE0MLS01022
FINKURVE,INE734I01027
JAINREC,INE0YD401026
ARSSBL,INE549H01021
JARO,INE00YJ01010
SOLARWORLD,INE0TY101024
STYL,INE04VU01023
ATLANTAELE,INE0Z4F01028
GANESHCP,INE652V01016
GKENERGY,INE1AG301022
RHETAN,INE0KKN01029
SAATVIKGL,INE13B501022
IVALUE,INE056801025
ABCOTS,INE08PH01015
VMSTMT,INE0SJA01013
EUROPRATIK,INE198501012
MWL,INE0JYY01011
TIGERLOGS,INE906O01029
DEVX,INE0VOV01021
SHRINGARMS,INE1B3L01017
URBANCO,INE0CAZ01013
SGMART,INE385F01024
MIDWESTLTD,INE0XAD01024
ORKLAINDIA,INE16NZ01023
VIDYAWIRES,INE14UN01029
AEQUS,INE947N01017
MEESHO,INE0VDM01015
SUDEEPPHRM,INE0QPI01025
EXCELSOFT,INE606N01019
CAPILLARY,INE0ILV01024
UTLSOLAR,INE12UR01024
TENNIND,INE19RI01016
EMMVEE,INE1C6T01020
PWL,INE0LP301011
PINELABS,INE15B701018
GROWW,INE0HOQ01053
LENSKART,INE956O01016
STUDDS,INE00Q601028
CORONA,INE02ZQ01018
WAKEFIT,INE0E7301029
PARKHOSPS,INE119201023
NEPHROPLUS,INE428V01029
ICICIAMC,INE346A01027
KSHINTL,INE987S01020
GKSL,INE0V0W01025
